product_id,name,price,category,description,condition,location,payment_Method,contact_info,is_sold,created_at,update_at,photos,seller_id
12,Adjustable Yoga Mat Strap,2645.7,Fitness,Convenient strap for carrying yoga mats to class.,used,City-Vista,paypal,(555) 123-9876,false,2/16/2020,7/10/2020,"[{""item"":""http://dummyimage.com/140x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/165x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/194x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/113x100.png/dddddd/000000""}]",12
13,Stainless Steel Cutlery Set,2183.42,Kitchen,High-quality cutlery set for daily use or special occasions.,used,Murchison,credit_card,(555) 123-9876,true,7/2/2020,4/27/2022,"[{""item"":""http://dummyimage.com/152x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/107x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/162x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/223x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/198x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/191x100.png/ff4444/ffffff""}]",13
14,Vintage Button-Down Shirt,5743.06,Clothing - Shirts,A retro-style button-down shirt with a relaxed fit.,used,Murchison,paypal,(555) 123-9876,true,3/10/2025,7/25/2022,"[{""item"":""http://dummyimage.com/199x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/185x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/162x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/132x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/139x100.png/5fa2dd/ffffff""}]",14
15,Home Office Chair,9386.67,Furniture,Ergonomic office chair with lumbar support and adjustable height.,used,Myrtle,cash,name@email.com,false,10/7/2020,2/5/2020,"[{""item"":""http://dummyimage.com/145x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/234x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/210x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/167x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/155x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/180x100.png/ff4444/ffffff""}]",15
16,Personal Security Alarm Keychain,4114.86,Safety,Handy keychain that emits a loud alarm for personal safety.,new,Isabella,paypal,(555) 123-9876,true,11/9/2025,9/8/2021,"[{""item"":""http://dummyimage.com/147x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/232x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/182x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/240x100.png/cc0000/ffffff""}]",16
17,Bamboo Cutting Board Set,5597.37,Kitchen,Eco-friendly bamboo cutting boards in various sizes.,new,Isabella,cash,t.user123,true,5/11/2023,7/3/2025,"[{""item"":""http://dummyimage.com/214x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/223x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/192x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/158x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/176x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/224x100.png/ff4444/ffffff""}]",17
18,Savory Trail Mix,6277.4,Food - Snacks,"A blend of nuts, seeds, and spices for a healthy snack.",new,Myrtle,paypal,name@email.com,false,12/22/2025,11/2/2024,"[{""item"":""http://dummyimage.com/147x100.png/cc0000/ffffff""}]",18
19,Wall-Mounted Bookshelf,3885.75,Home,Floating bookshelf to display your favorite books.,used,City-Vista,paypal,name@email.com,true,2/9/2020,2/18/2024,"[{""item"":""http://dummyimage.com/132x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/244x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/160x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/109x100.png/5fa2dd/ffffff""}]",19
20,Nutty Quinoa Salad,498.17,Food - Salads,"A delicious salad with quinoa, nuts, and cranberries.",used,Isabella,paypal,t.user123,true,10/23/2025,7/27/2020,"[{""item"":""http://dummyimage.com/185x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/167x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/144x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/153x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/111x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/108x100.png/cc0000/ffffff""}]",20
21,Electric Griddle,1198.69,Kitchen,Large electric griddle for family meals.,used,City-Vista,paypal,(555) 123-9876,false,7/28/2021,10/16/2021,[],21
22,Decorative Throw Pillows,1608.99,Home,Set of stylish throw pillows for home decor.,used,City-Vista,paypal,name@email.com,true,12/26/2020,7/31/2025,[],22
23,Vegan Tacos,7757.17,Food - Frozen Foods,Frozen vegan tacos filled with plant-based protein and spices.,new,City-Vista,credit_card,(555) 123-9876,false,5/25/2024,3/10/2021,"[{""item"":""http://dummyimage.com/199x100.png/5fa2dd/ffffff""}]",23
24,Frozen Pizza,444.79,Food - Frozen Foods,Delicious frozen pizza with a variety of toppings.,used,Murchison,credit_card,t.user123,true,11/20/2022,12/18/2021,"[{""item"":""http://dummyimage.com/111x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/172x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/138x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/210x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/214x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/125x100.png/5fa2dd/ffffff""}]",24
25,Foam Muscle Roller,1129.23,Fitness,Relieve muscle tension and soreness with this foam roller.,new,Isabella,cash,name@email.com,false,1/13/2025,8/23/2022,"[{""item"":""http://dummyimage.com/107x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/199x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/178x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/207x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/204x100.png/dddddd/000000""}]",25
26,Peanut Butter Granola,6971.04,Food - Breakfast,Crunchy granola full of peanut butter flavor and oats.,new,Murchison,credit_card,(555) 123-9876,true,5/19/2021,6/11/2025,"[{""item"":""http://dummyimage.com/147x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/227x100.png/dddddd/000000""}]",26
27,Tomato Paste,7021.49,Food - Canned Goods,"Concentrated tomato paste, great for sauces.",used,City-Vista,cash,(555) 123-9876,false,4/19/2020,3/3/2025,"[{""item"":""http://dummyimage.com/127x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/238x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/201x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/190x100.png/ff4444/ffffff""}]",27
28,Crew Neck Sweater,4882.96,Clothing - Sweaters,"A comfortable crew neck sweater, great for all seasons.",used,Myrtle,cash,name@email.com,false,1/14/2022,12/30/2025,"[{""item"":""http://dummyimage.com/230x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/188x100.png/ff4444/ffffff""}]",28
29,Fruit and Nut Energy Bites,3920.39,Food - Snacks,Natural energy bites packed with fruits and nuts for a perfect snack.,new,Myrtle,cash,name@email.com,false,8/27/2022,4/16/2025,[],29
30,Chic Jumpsuit,5573.8,Clothing - Jumpsuits,An elegant jumpsuit that can be dressed up or down.,used,Murchison,cash,(555) 123-9876,true,3/19/2021,11/14/2023,"[{""item"":""http://dummyimage.com/164x100.png/dddddd/000000""}]",30
31,Pecan Pie Filling,2296.45,Food - Baking Goods,Sweet and nutty filling for delicious homemade pecan pie.,new,City-Vista,cash,t.user123,false,4/16/2025,7/24/2020,"[{""item"":""http://dummyimage.com/128x100.png/5fa2dd/ffffff""}]",31
32,Inflatable Party Cooler,6431.39,Outdoor,Fun inflatable cooler to keep drinks cold at parties.,used,Murchison,credit_card,(555) 123-9876,true,8/9/2024,12/6/2024,"[{""item"":""http://dummyimage.com/233x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/240x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/211x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/240x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/172x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/222x100.png/ff4444/ffffff""}]",32
33,Rainbow Veggie Chips,8125.2,Food - Snacks,"Colorful veggie chips made from beets, carrots, and sweet potatoes.",used,Murchison,paypal,t.user123,true,6/15/2020,8/23/2025,[],33
34,Non-Toxic Concrete Sealer,8986.0,Home Improvement,Eco-friendly sealer for protecting concrete surfaces.,used,Isabella,cash,name@email.com,false,6/20/2025,8/31/2023,"[{""item"":""http://dummyimage.com/115x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/230x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/157x100.png/ff4444/ffffff""}]",34
35,Wild Rice Pilaf,7271.36,Food - Grains,"A mix of wild rice with herbs and spices, ready to serve.",new,Myrtle,paypal,t.user123,true,4/14/2022,9/26/2023,"[{""item"":""http://dummyimage.com/126x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/226x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/136x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/226x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/111x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/204x100.png/dddddd/000000""}]",35
36,Travel Shoe Bags Set,5172.49,Travel,Set of breathable bags for organizing shoes while traveling.,new,City-Vista,paypal,(555) 123-9876,false,3/2/2025,11/6/2022,"[{""item"":""http://dummyimage.com/190x100.png/5fa2dd/ffffff""}]",36
37,Personal Blender with Cups,2461.38,Kitchen,Compact blender that comes with travel cups for smoothies.,new,Isabella,credit_card,t.user123,true,11/1/2025,1/10/2023,"[{""item"":""http://dummyimage.com/109x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/247x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/189x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/155x100.png/ff4444/ffffff""}]",37
38,Foldable Yoga Mat Carry Bag,2947.57,Fitness,Durable bag for carrying your yoga mat and accessories.,used,City-Vista,paypal,t.user123,true,2/4/2024,6/9/2022,[],38
39,Italian Marinara Sauce,8634.43,Food - Sauces,"Classic marinara sauce for pasta, pizza, or dipping.",new,Murchison,cash,name@email.com,false,3/6/2021,6/23/2022,"[{""item"":""http://dummyimage.com/221x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/205x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/229x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/174x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/205x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/184x100.png/ff4444/ffffff""}]",39
40,Fitness Tracker with Heart Rate Monitor,5465.64,Fitness,Wearable device to track fitness activities and heart rate.,new,Murchison,credit_card,t.user123,false,11/27/2020,7/18/2025,"[{""item"":""http://dummyimage.com/103x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/147x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/147x100.png/dddddd/000000""}]",40
41,USB Flash Drive,5057.7,Storage,32GB USB flash drive with fast data transfer speeds.,new,City-Vista,paypal,(555) 123-9876,false,5/23/2022,6/7/2021,"[{""item"":""http://dummyimage.com/209x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/166x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/157x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/234x100.png/5fa2dd/ffffff""}]",41
42,Outdoor Mosquito Repellent Lantern,2831.39,Outdoor,Lantern that repels mosquitoes while providing light.,used,Murchison,paypal,(555) 123-9876,true,2/2/2022,1/22/2021,[],42
43,Smart Wi-Fi Camera,6166.28,Smart Home,Indoor Wi-Fi camera for home security.,used,Isabella,cash,(555) 123-9876,false,9/15/2025,8/19/2025,"[{""item"":""http://dummyimage.com/230x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/125x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/128x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/228x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/244x100.png/ff4444/ffffff""}]",43
44,Collapsible Folding Chair,8862.91,Outdoor,Lightweight and portable chair for camping or events.,new,Isabella,credit_card,name@email.com,false,1/2/2023,5/13/2022,"[{""item"":""http://dummyimage.com/193x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/112x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/127x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/201x100.png/cc0000/ffffff""}]",44
45,Kids' STEM Robotics Kit,2975.64,Toys,Educational robotics kit for building and programming.,new,Murchison,credit_card,name@email.com,false,8/2/2024,5/29/2022,"[{""item"":""http://dummyimage.com/237x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/232x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/163x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/192x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/159x100.png/cc0000/ffffff""}]",45
46,Electric Screwdriver,8547.71,Tools,Cordless electric screwdriver for home projects.,new,Myrtle,credit_card,name@email.com,false,2/1/2025,10/28/2020,"[{""item"":""http://dummyimage.com/193x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/196x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/119x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/235x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/200x100.png/dddddd/000000""}]",46
47,Buffalo Sauce,7694.11,Food - Condiments,Spicy buffalo sauce ideal for wings or dipping.,new,Isabella,cash,name@email.com,true,4/19/2025,5/28/2023,"[{""item"":""http://dummyimage.com/155x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/220x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/161x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/105x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/233x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/179x100.png/5fa2dd/ffffff""}]",47
48,Oven-Baked Parmesan Zucchini,4317.18,Food - Frozen Vegetables,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying.",used,Myrtle,paypal,name@email.com,false,12/12/2023,3/30/2021,"[{""item"":""http://dummyimage.com/185x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/217x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/110x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/238x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/211x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/239x100.png/5fa2dd/ffffff""}]",48
49,Digital Meat Thermometer,6001.15,Kitchen,Instant-read thermometer for precise cooking temperatures.,used,Murchison,paypal,t.user123,true,8/23/2022,1/10/2021,"[{""item"":""http://dummyimage.com/123x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/215x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/110x100.png/ff4444/ffffff""}]",49
50,Organic Spinach,4807.05,Food - Produce,"Fresh organic spinach, great for salads or cooking.",new,Myrtle,credit_card,name@email.com,false,4/27/2021,4/26/2024,"[{""item"":""http://dummyimage.com/161x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/127x100.png/ff4444/ffffff""}]",50
51,Zesty Garlic Hummus,8130.26,Food - Snacks,Creamy chickpea dip infused with zesty garlic flavor.,used,Myrtle,credit_card,(555) 123-9876,true,5/17/2022,7/2/2021,"[{""item"":""http://dummyimage.com/190x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/150x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/152x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/114x100.png/5fa2dd/ffffff""}]",51
52,Chocolate Covered Pretzels,8640.08,Food - Snacks,"Crunchy pretzels coated in rich chocolate, a sweet treat.",used,Myrtle,credit_card,name@email.com,true,9/19/2020,12/30/2025,"[{""item"":""http://dummyimage.com/202x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/128x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/250x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/123x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/129x100.png/cc0000/ffffff""}]",52
53,Chino Shorts,759.85,Clothing - Bottoms,Classic chino shorts in a versatile color for summer adventures.,used,Myrtle,cash,t.user123,false,9/14/2025,11/24/2020,"[{""item"":""http://dummyimage.com/215x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/158x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/177x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/190x100.png/cc0000/ffffff""}]",53
54,Savory Oatmeal Cups,6179.5,Food - Breakfast,"Savory oatmeal ready to eat, great for breakfast or a snack.",new,City-Vista,cash,name@email.com,true,3/30/2024,12/4/2021,"[{""item"":""http://dummyimage.com/219x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/157x100.png/dddddd/000000""}]",54
55,Portable Phone Charger,9360.26,Accessories,High-capacity power bank for charging devices on the go.,used,Murchison,credit_card,name@email.com,true,10/17/2025,6/13/2022,"[{""item"":""http://dummyimage.com/244x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/131x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/115x100.png/5fa2dd/ffffff""}]",55
56,Savory Oatmeal Cups,7803.97,Food - Breakfast,"Savory oatmeal ready to eat, great for breakfast or a snack.",new,Isabella,cash,t.user123,false,9/28/2025,2/22/2024,"[{""item"":""http://dummyimage.com/104x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/123x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/177x100.png/cc0000/ffffff""}]",56
57,Cheddar Cheese Crackers,9500.84,Food - Snacks,Crunchy crackers topped with real cheddar cheese flavor.,new,Murchison,credit_card,name@email.com,false,8/3/2022,5/7/2025,"[{""item"":""http://dummyimage.com/151x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/237x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/248x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/191x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/163x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/140x100.png/cc0000/ffffff""}]",57
58,Honey Sesame Cashews,9171.73,Food - Snacks,Roasted cashews coated in honey and sesame seeds for a sweet treat.,used,Murchison,paypal,(555) 123-9876,false,10/16/2024,1/6/2023,"[{""item"":""http://dummyimage.com/154x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/138x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/193x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/223x100.png/dddddd/000000""}]",58
59,Sliced Provolone Cheese,452.29,Food - Dairy,Mild cheese great for sandwiches.,new,Isabella,credit_card,t.user123,false,7/13/2023,9/2/2024,"[{""item"":""http://dummyimage.com/180x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/113x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/245x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/237x100.png/cc0000/ffffff""}]",59
60,Over-Ear Headphones,9167.96,Audio,Comfortable over-ear headphones with deep bass.,used,Myrtle,cash,(555) 123-9876,false,12/16/2023,6/18/2020,"[{""item"":""http://dummyimage.com/102x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/234x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/185x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/119x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/106x100.png/ff4444/ffffff""}]",60
61,Blueberry Muffin Mix,9853.44,Food - Baking,Make delightful blueberry muffins at home with this easy mix.,new,Murchison,paypal,t.user123,false,7/9/2023,1/3/2024,[],61
62,Sweet Corn Fritters,4595.54,Food - Frozen,Golden-brown fritters made with sweet corn.,new,Isabella,cash,(555) 123-9876,false,6/2/2024,4/17/2023,"[{""item"":""http://dummyimage.com/225x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/206x100.png/dddddd/000000""}]",62
63,Portable Massage Table,6039.15,Health,Folding massage table for professional or home use.,new,Isabella,credit_card,(555) 123-9876,false,4/23/2021,6/21/2024,[],63
64,Balsamic Fig Dressing,783.16,Food - Condiments,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",used,Murchison,paypal,name@email.com,true,1/25/2024,2/24/2024,"[{""item"":""http://dummyimage.com/204x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/100x100.png/ff4444/ffffff""}]",64
65,Samsung Galaxy Smartwatch,8316.36,Wearable Tech,Stylish smartwatch with fitness tracking and notifications.,used,Isabella,cash,name@email.com,false,4/28/2023,1/23/2020,"[{""item"":""http://dummyimage.com/102x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/115x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/141x100.png/5fa2dd/ffffff""}]",65
66,Wireless HDMI Receiver,2119.81,Electronics,Stream HD video wirelessly from devices to TV.,new,City-Vista,credit_card,name@email.com,false,7/22/2021,6/5/2020,"[{""item"":""http://dummyimage.com/207x100.png/dddddd/000000""}]",66
67,Bluetooth Shower Speaker,9259.84,Audio,Water-resistant Bluetooth speaker for showers.,new,Murchison,paypal,name@email.com,false,4/4/2022,2/25/2022,"[{""item"":""http://dummyimage.com/193x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/240x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/204x100.png/cc0000/ffffff""}]",67
68,Homemade Salsa,8618.52,Food - Condiments,"Fresh salsa made with tomatoes, onions, and cilantro.",used,Isabella,credit_card,t.user123,true,12/17/2022,9/20/2021,[],68
69,Board Game,4121.69,Toys,Strategic board game for family game nights.,new,Murchison,cash,name@email.com,false,4/4/2022,12/27/2024,"[{""item"":""http://dummyimage.com/207x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/211x100.png/5fa2dd/ffffff""}]",69
70,Pet Safety Belt for Car,9315.4,Pets,Seat belt attachment to keep dogs safe during car rides.,used,City-Vista,paypal,(555) 123-9876,true,10/24/2025,12/10/2024,"[{""item"":""http://dummyimage.com/140x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/130x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/250x100.png/cc0000/ffffff""}]",70
71,Fitness Balance Ball,6840.52,Fitness,Stability ball for Pilates and yoga workouts.,new,Murchison,credit_card,name@email.com,true,10/17/2022,11/11/2025,[],71
72,Truffle Parmesan Fries,1450.05,Food - Snacks,"Crispy fries tossed in truffle oil and parmesan, a gourmet snack.",new,Myrtle,paypal,(555) 123-9876,false,12/27/2024,12/10/2020,[],72
73,Digital Wireless Meat Thermometer,5706.45,Kitchen,Bluetooth thermometer that alerts you when your meat is done.,new,Murchison,credit_card,name@email.com,false,4/12/2020,11/18/2020,"[{""item"":""http://dummyimage.com/250x100.png/dddddd/000000""}]",73
